OID_,CBG,PlusCode,DestinationID,Total_TravelTime,Total_Kilometers
1,470930001001,"X384+FG Knoxville, Tennessee",65,4.086747419,2.239680269
2,470930001001,"X3JC+HQ Knoxville, Tennessee",74,4.612201911,3.112122095
3,470930001001,"X3HV+HG Knoxville, Tennessee",60,4.824884529,2.569117639
4,470930001001,"X3RH+94 Knoxville, Tennessee",91,5.400160106,4.244552622
5,470930001001,"X3VH+69 Knoxville, Tennessee",75,6.018212495,4.592995462
6,470930001001,"W3MV+W7 Knoxville, Tennessee",41,6.120767914,3.750791134
7,470930001001,"W3MV+39 Knoxville, Tennessee",53,7.03824792,4.056889728
8,470930001001,"W3MV+39 Knoxville, Tennessee",63,7.03824792,4.056889728
9,470930001001,"223F+WV Knoxville, Tennessee",101,7.70866165,7.830279698
10,470930001001,"W3X6+X5 Knoxville, Tennessee",49,7.83058496,4.715919337
11,470930001001,"X4XF+C6 Knoxville, Tennessee",82,8.503885615,9.310225717
12,470930001001,"228J+54 Knoxville, Tennessee",100,8.626738198,8.390515385
13,470930001001,"236G+RW Knoxville, Tennessee",109,9.06475449,6.827051657
14,470930001001,"243P+M4 Knoxville, Tennessee",77,9.418664493,10.48012552
15,470930001001,"238H+38 Knoxville, Tennessee",107,9.450410429,10.08165715
16,470930001001,"W2RC+PJ Knoxville, Tennessee",46,9.850202663,8.328099129
17,470930001001,"W2W9+25 Knoxville, Tennessee",70,10.08069433,7.323841504
18,470930001001,"24MJ+RQ Knoxville, Tennessee",104,10.12727749,12.30275564
19,470930001001,"WXMM+6Q Knoxville, Tennessee",64,10.57695618,10.82268038
20,470930001001,"24PJ+H8 Knoxville, Tennessee",103,10.78727137,12.45838051
21,470930001001,"W2R8+Q4 Knoxville, Tennessee",71,11.01452353,8.982787987
22,470930001001,"23FC+W9 Knoxville, Tennessee",106,11.03789762,11.00956596
23,470930001001,"W2Q8+V4 Knoxville, Tennessee",45,11.21773763,9.025230892
24,470930001001,"W2Q8+V4 Knoxville, Tennessee",66,11.21773763,9.025230892
25,470930001001,"WXMX+JJ Knoxville, Tennessee",52,11.26412356,10.49798792
26,470930001001,"W2P6+V5 Knoxville, Tennessee",48,11.59855026,9.524928064
27,470930001001,"XXGQ+HH Knoxville, Tennessee",83,11.63454463,11.40764427
28,470930001001,"XXGQ+HH Knoxville, Tennessee",88,11.63454463,11.40764427
29,470930001001,"2XVW+RQ Powell, Tennessee",120,11.77860307,13.868405
30,470930001001,"23M9+39 Knoxville, Tennessee",134,11.90893062,11.73477954
31,470930001001,"2X5G+FG Knoxville, Tennessee",99,12.02264182,12.18229318
32,470930001001,"XXJM+8F Knoxville, Tennessee",87,12.03339381,11.87844913
33,470930001001,"WXG4+7Q Knoxville, Tennessee",76,12.12656856,13.69634528
34,470930001001,"WXG3+VJ Knoxville, Tennessee",25,12.33996442,13.90285128
35,470930001001,"WWGP+FW Knoxville, Tennessee",108,12.36005284,14.9963737
36,470930001001,"2X3G+JQ Knoxville, Tennessee",98,12.47508391,12.42796872
37,470930001001,"V3Q7+MM Knoxville, Tennessee",54,12.77446695,10.15538777
38,470930001001,"WXF2+93 Knoxville, Tennessee",23,12.92386343,14.3281109
39,470930001001,"WXC2+HQ Knoxville, Tennessee",68,12.94272241,14.41835564
40,470930001001,"WWFR+HR Knoxville, Tennessee",62,12.98030665,15.02409755
41,470930001001,"WXC2+W7 Knoxville, Tennessee",57,13.03131542,14.4924975
42,470930001001,"WXF9+C4 Knoxville, Tennessee",27,13.45788867,14.54870811
43,470930001001,"269C+RP Knoxville, Tennessee",84,13.48720468,17.05124524
44,470930001001,"WWFP+5F Knoxville, Tennessee",24,13.53296062,15.81222694
45,470930001001,"W536+GW Knoxville, Tennessee",44,13.54534535,11.31429571
46,470930001001,"WWC7+P3 Knoxville, Tennessee",59,13.6385422,17.30112147
47,470930001001,"WWCW+PW Knoxville, Tennessee",69,14.15183891,14.71051578
48,470930001001,"W564+JF Knoxville, Tennessee",42,14.20867715,10.7142703
49,470930001001,"W564+JF Knoxville, Tennessee",61,14.20867715,10.7142703
