,placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visitor_home_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type,poi_cbg,visitor_daytime_cbgs
0,223-223@8g9-gv4-6tv,sg:126ca050033a40c999ac7f3e39120758,223-222@8g9-gv4-6tv,sg:e89e4645e0d34dd096a918cd90266963,Bread Box Food Store 45,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.033823,-83.86904799999998,5340 Millertown Pike,Knoxville,TN,37924,US,,,,,,,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,38.0,35.0,"[2,2,1,1,0,2,2,0,1,0,1,3,4,1,1,1,1,0,1,1,0,4,1,2,1,1,0,1,1,1,1]","{""470930052013"":4,""470930043002"":4,""470930054022"":4,""170318045062"":4,""470575002003"":4,""470930053022"":4,""470930057042"":4,""471550802011"":4,""470930052022"":4,""470930065011"":4}","{""US"":35}",10803.0,7.0,"{""<5"":6,""5-10"":23,""11-20"":4,""21-60"":4,""61-120"":1,""121-240"":0,"">240"":0}","{""Sam's Club"":99,""Shell Oil"":99,""Texas Roadhouse"":50,""Weigel's"":33}","{""Shell Oil"":94,""Walmart"":67,""Weigel's"":66,""McDonald's"":54,""Wendy's"":50,""Dollar General"":48,""Sonic"":45,""Food City"":40,""Target"":37,""Arby's"":35,""Kroger"":35,""Walgreens"":34,""Exxon Mobil"":32,""Sam's Club"":31,""Burger King"":31,""Kroger Fuel Center"":30,""Lowe's"":30,""Subway"":29,""Marathon"":27,""Taco Bell"":24}","[2,0,0,1,1,1,0,2,3,1,2,1,6,5,3,1,2,4,3,5,2,0,0,0]","{""Monday"":6,""Tuesday"":5,""Wednesday"":3,""Thursday"":5,""Friday"":7,""Saturday"":4,""Sunday"":8}","{""android"":14,""ios"":19}",470930052022.0,"{""470930053012"":5,""470930065021"":4,""471550802011"":4,""470930052022"":4,""170318045062"":4,""470930024001"":4,""470930062061"":4,""470010213023"":4,""470930052013"":4}"
1,zzw-222@8g9-xf8-mp9,sg:567302d8fe76463e9c7cc34e3c3beadf,,,Kroger,SG_BRAND_1f852a23da4b7250,Kroger,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,35.979676,-84.11526500000002,7810 Oak Ridge Hwy,Knoxville,TN,37931,US,,,,,,,,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,595.0,431.0,"[30,14,14,20,21,26,33,26,27,19,24,23,22,23,8,12,15,25,19,17,14,18,13,13,19,21,13,18,15,14,19]","{""470930059081"":60,""470930060023"":52,""470930060032"":51,""470930060011"":49,""470010213023"":22,""470930046071"":21,""470930059082"":16,""470930060031"":15,""470930060022"":10,""470090110011"":9,""470010213024"":8,""470139504001"":6,""470930058111"":6,""470930059071"":5,""470930046062"":5,""470930059051"":5,""470930060021"":5,""470930046061"":4,""470930059061"":4,""470930046101"":4,""470930059042"":4,""470930062021"":4,""090118702001"":4,""470930058102"":4,""471050603024"":4,""470930046072"":4,""470930048002"":4,""471450302013"":4,""470090103011"":4,""470010205001"":4,""470110116012"":4,""470930061041"":4,""470930046131"":4,""471019701001"":4,""470010212024"":4,""470010205002"":4}","{""US"":431}",3113.0,10.0,"{""<5"":37,""5-10"":282,""11-20"":156,""21-60"":108,""61-120"":5,""121-240"":6,"">240"":1}","{""Dollar General"":13,""Dollar Tree"":9,""Food City"":8,""Ace Hardware"":8,""Pilot Flying J"":7,""Planet Fitness"":7,""Texas Roadhouse"":7,""Sonic"":7,""Chevrolet"":7,""Gondolier Italian Restaurant & Pizza"":6,""Big Lots Stores"":5}","{""Weigel's"":64,""Ingles Markets"":52,""Walmart"":43,""Chick-fil-A"":41,""McDonald's"":37,""Food City"":37,""Sonic"":31,""Kroger Fuel Center"":29,""Target"":28,""Dollar General"":28,""Walgreens"":22,""Dunkin'"":22,""Exxon Mobil"":20,""Wendy's"":19,""Dollar Tree"":19,""Bojangles'"":18,""The Home Depot"":18,""Subway"":17,""Starbucks"":17,""Lowe's"":17}","[0,0,0,0,0,2,0,0,16,27,47,48,62,57,75,88,54,84,58,56,41,20,0,1]","{""Monday"":80,""Tuesday"":80,""Wednesday"":88,""Thursday"":84,""Friday"":78,""Saturday"":88,""Sunday"":97}","{""android"":197,""ios"":232}",470930059081.0,"{""470930059081"":56,""470930060023"":48,""470930060011"":45,""470930060032"":41,""470930046071"":22,""470930059082"":20,""470010213023"":18,""470930060031"":14,""470930058132"":9,""470930060022"":9,""470930044042"":8,""470930060021"":8,""470930046061"":6,""470930057111"":6,""470930059071"":6,""470930059051"":5,""470930061041"":4,""470090107003"":4,""470930061042"":4,""470010202023"":4,""470930032001"":4,""470010213024"":4,""090118702001"":4,""470010202011"":4,""470930058101"":4,""470930016001"":4,""470090103011"":4,""470930059061"":4,""470010212023"":4,""470930014001"":4,""471050602011"":4,""470930046072"":4,""470930058111"":4,""471450309001"":4,""470930058102"":4,""471050603024"":4,""470930061032"":4,""470930057042"":4,""470010201002"":4,""470930061031"":4,""470930046111"":4,""470930035001"":4,""470010209012"":4}"
2,zzw-223@8g9-fmt-dgk,sg:620a5b7da84c40d680491f453123e08a,,,Food City,SG_BRAND_0c6c4ce554bb53513678968c086c5457,Food City,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,35.881926,-83.46054000000002,2339 Newport Hwy,Sevierville,TN,37876,US,,"{ ""Mon"": [[""6:00"", ""24:00""]], ""Tue"": [[""6:00"", ""24:00""]], ""Wed"": [[""6:00"", ""24:00""]], ""Thu"": [[""6:00"", ""24:00""]], ""Fri"": [[""6:00"", ""24:00""]], ""Sat"": [[""6:00"", ""24:00""]], ""Sun"": [[""6:00"", ""24:00""]] }",,,,2020-12,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,179.0,140.0,"[2,5,2,1,5,6,7,3,3,2,1,7,9,11,7,8,10,8,8,9,6,8,5,6,6,8,5,7,2,4,8]","{""471550806022"":27,""471550806023"":18,""471550806021"":14,""471550807003"":12,""471550808021"":7,""470890709002"":6,""471550806024"":6,""471550806012"":5,""471550807001"":5,""471550810001"":5,""471550802012"":5,""471550808022"":4,""450830234011"":4,""360450604001"":4,""470890705002"":4,""470890709001"":4,""470930055012"":4,""470890701002"":4,""470890709003"":4}","{""US"":140}",5328.0,19.0,"{""<5"":1,""5-10"":47,""11-20"":52,""21-60"":66,""61-120"":6,""121-240"":2,"">240"":5}","{""Marathon"":20,""McDonald's"":14,""Murphy USA"":12}","{""Dollar General"":45,""Kroger"":36,""Walmart"":35,""Exxon Mobil"":34,""Weigel's"":34,""McDonald's"":33,""Walgreens"":31,""Family Dollar Stores"":30,""Lowe's"":30,""Bojangles'"":23,""Chick-fil-A"":20,""Shell Oil"":20,""The Home Depot"":20,""Taco Bell"":18,""Big Lots Stores"":17,""BP"":17,""Marathon"":14,""Sonic"":13,""Papa John's"":13,""PetSmart"":13}","[0,0,0,0,2,4,6,11,12,14,16,24,19,15,11,19,31,30,34,10,13,10,3,0]","{""Monday"":25,""Tuesday"":28,""Wednesday"":16,""Thursday"":28,""Friday"":29,""Saturday"":31,""Sunday"":22}","{""android"":105,""ios"":35}",471550806022.0,"{""471550806022"":24,""471550806023"":17,""471550806021"":10,""471550807003"":9,""471550808021"":9,""471550806024"":8,""470890709002"":7,""471550802013"":6,""471550807001"":6,""470299205021"":4,""471550805001"":4,""471550806012"":4,""470890709001"":4,""360450604001"":4,""471550807004"":4,""180632106031"":4,""471550805002"":4,""471550808022"":4}"
3,222-226@8g9-xpn-3h5,sg:82fda123fc514dcfb1b7677cee7aad51,222-222@8g9-xpn-3h5,sg:71fc6fd63d054562b69f4e031a839c19,Kenjo Market 23,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.049018,-83.998452,404 E Emory Rd,Knoxville,TN,37849,US,,,,,,,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,142.0,115.0,"[7,6,4,8,1,3,6,8,5,4,2,2,6,8,3,6,4,7,5,3,0,3,1,5,5,6,7,6,5,4,2]","{""470930062061"":8,""470930062062"":6,""470010213025"":6,""470930046062"":4,""470930060031"":4,""470930061041"":4,""470930057062"":4,""470139509001"":4,""470930064012"":4,""470010209013"":4,""390490079524"":4,""470930063012"":4,""470930061022"":4,""471730402024"":4,""470930039022"":4,""470930061032"":4,""470930070002"":4,""470930061023"":4,""470930062082"":4,""470930049002"":4,""470575001003"":4,""470010209023"":4,""470930062022"":4}","{""US"":113}",9459.0,7.5,"{""<5"":10,""5-10"":84,""11-20"":20,""21-60"":18,""61-120"":2,""121-240"":5,"">240"":3}","{""Shell Oil"":99,""Walgreens"":49,""Ferguson"":20,""Dollar General"":18,""Marathon"":16,""Burger King"":16}","{""Shell Oil"":94,""Weigel's"":49,""Walmart"":47,""Chick-fil-A"":47,""McDonald's"":40,""Dollar General"":37,""Wendy's"":32,""Target"":28,""Arby's"":28,""PetSmart"":27,""Lowe's"":26,""Exxon Mobil"":24,""Ingles Markets"":24,""Kroger Fuel Center"":24,""Salsarita's Fresh Cantina"":23,""Cracker Barrel"":23,""CVS"":23,""Sonic"":22,""Food City"":20,""Krystal"":20}","[0,0,0,0,0,1,3,2,4,6,5,2,16,13,15,22,24,24,29,18,14,5,0,0]","{""Monday"":22,""Tuesday"":19,""Wednesday"":22,""Thursday"":14,""Friday"":19,""Saturday"":20,""Sunday"":26}","{""android"":45,""ios"":69}",470930062071.0,"{""470930062061"":13,""470930062062"":5,""470930035001"":5,""470930061042"":5,""470930061023"":4,""470930060031"":4,""470930062082"":4,""390539539001"":4,""470010209012"":4,""470930001001"":4,""470930061041"":4,""470930062081"":4,""470010213025"":4,""470930064012"":4,""470930062071"":4,""470930063022"":4,""470930063012"":4,""470010213012"":4,""391130209002"":4,""470010202022"":4,""470010209022"":4,""471790613002"":4,""470930064022"":4,""471519751001"":4}"
4,zzw-222@8g9-gsr-b8v,sg:136bfdd3b3984660860011cdfdbc29c5,,,King Grocery,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,35.962884,-83.801663,5826 Thorn Grove Pike,Knoxville,TN,37914,US,18655249637.0,,,,,,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,117.0,29.0,"[2,6,7,7,7,3,0,4,7,6,7,5,5,0,5,6,5,4,5,0,0,5,2,0,3,6,2,0,1,3,4]","{""471550802011"":4,""470930053022"":4,""470930054011"":4,""470631007002"":4,""470090113011"":4,""470890707003"":4,""480559601021"":4}","{""US"":28}",22663.0,26.0,"{""<5"":0,""5-10"":31,""11-20"":16,""21-60"":36,""61-120"":18,""121-240"":13,"">240"":3}","{""Peterbilt"":50,""Sonic"":49,""Shell Oil"":49,""Weigel's"":40,""Marathon"":33,""Dollar Tree"":24,""Exxon Mobil"":19}","{""Weigel's"":62,""Dollar General"":59,""Shell Oil"":49,""McDonald's"":47,""Walmart"":46,""Wendy's"":37,""Chick-fil-A"":36,""Taco Bell"":33,""Food City"":31,""Pilot Flying J"":30,""Sam's Club"":27,""Cracker Barrel"":27,""Subway"":26,""Marathon"":26,""Exxon Mobil"":25,""Krystal"":24,""Chevrolet"":23,""CVS"":23,""BP"":21,""Burger King"":20}","[0,0,1,1,5,15,6,2,2,1,5,5,10,6,10,13,19,22,31,25,12,9,8,3]","{""Monday"":24,""Tuesday"":22,""Wednesday"":21,""Thursday"":23,""Friday"":10,""Saturday"":0,""Sunday"":17}","{""android"":16,""ios"":13}",470930054012.0,"{""470890707003"":5,""470890704001"":4,""480559601021"":4,""470930054011"":4,""470930053013"":4,""470139506004"":4,""471550802021"":4,""470930055022"":4,""470930063011"":4}"
5,224-224@8g9-mj5-7qz,sg:f0106f46d28443c5b35a03cef68ba799,,,KenJo Markets,SG_BRAND_52d289c0a104ae10,KenJo Markets,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,35.920737,-83.864638,6519 Chapman Hwy,Knoxville,TN,37920,US,,,,,,,,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,87.0,60.0,"[13,2,3,4,6,3,4,11,3,2,3,5,2,1,5,3,2,2,1,0,1,1,1,0,0,1,3,0,0,2,3]","{""471550806021"":7,""470930055011"":6,""471550802013"":5,""470930056021"":4,""470930058071"":4,""470010211002"":4,""420599705024"":4,""470930022003"":4,""471550804002"":4,""470930056032"":4,""330079507004"":4,""470090113011"":4,""470930024001"":4,""470930048003"":4}","{""US"":62}",7868.0,17.0,"{""<5"":4,""5-10"":35,""11-20"":7,""21-60"":16,""61-120"":16,""121-240"":9,"">240"":0}","{""Chick-fil-A"":99,""Weigel's"":20,""Ruby Tuesday"":20,""76"":9,""Shell Oil"":8}","{""McDonald's"":56,""Walmart"":56,""Weigel's"":53,""Burger King"":41,""Exxon Mobil"":39,""Taco Bell"":39,""Food City"":38,""Sonic"":37,""Shell Oil"":36,""Wendy's"":34,""Dollar General"":32,""Chick-fil-A"":31,""Kroger"":31,""Lowe's"":31,""Dollar Tree"":29,""Walgreens"":26,""Subway"":25,""The Home Depot"":24,""Waffle House"":21,""Little Caesars"":20}","[0,0,0,0,0,1,2,1,7,23,20,16,12,3,5,8,9,11,13,8,6,4,0,0]","{""Monday"":11,""Tuesday"":10,""Wednesday"":9,""Thursday"":13,""Friday"":8,""Saturday"":6,""Sunday"":30}","{""android"":37,""ios"":19}",470930056031.0,"{""470930016001"":4,""470930055011"":4,""470930024001"":4,""470930056032"":4,""470930022003"":4,""470930066002"":4,""470930056031"":4,""470930060023"":4,""470930034001"":4,""471450304005"":4}"
6,222-223@8g9-x7v-tvz,sg:1beaf37cbc0048bcb73d469241ffa4b4,,,Kroger,SG_BRAND_1f852a23da4b7250,Kroger,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.16132,-84.090779,2151 N Charles G Seivers Blvd,Clinton,TN,37716,US,,,,,,,,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,136.0,116.0,"[5,8,5,2,6,9,6,5,9,5,2,7,6,6,3,6,2,5,1,4,5,0,2,4,4,5,6,1,3,1,3]","{""470010209022"":19,""470010209012"":14,""470010209013"":9,""470010209021"":9,""470010209011"":8,""470010208001"":6,""470010213022"":6,""470010209024"":5,""470010212023"":4,""470139505003"":4,""470010209023"":4,""470930061021"":4,""471519752004"":4,""470930061031"":4,""471450301001"":4,""470139504001"":4,""470930059071"":4,""470010208003"":4}","{""US"":113}",6724.0,9.5,"{""<5"":6,""5-10"":78,""11-20"":26,""21-60"":14,""61-120"":2,""121-240"":1,"">240"":9}","{""Walgreens"":49,""Lowe's"":24,""Dollar General"":23,""CITGO"":16,""Chevrolet"":12}","{""Walmart"":65,""Walgreens"":48,""Dollar General"":46,""Weigel's"":43,""Food City"":37,""Git 'N Go Market"":36,""McDonald's"":35,""BP"":34,""Taco Bell"":31,""Speedway"":29,""Chick-fil-A"":27,""Wendy's"":23,""Zaxby's"":21,""Lowe's"":21,""Hardee's"":19,""Beltone"":19,""Arby's"":18,""Dollar Tree"":18,""Shoe Show Mega"":16,""Goodwill Industries"":16}","[0,0,0,0,0,0,0,8,13,14,15,15,24,23,15,21,15,23,18,14,10,1,0,0]","{""Monday"":26,""Tuesday"":19,""Wednesday"":13,""Thursday"":19,""Friday"":25,""Saturday"":18,""Sunday"":16}","{""android"":61,""ios"":54}",470010209022.0,"{""470010209022"":20,""470010209012"":12,""470010209021"":10,""470010209011"":7,""470010209013"":7,""470010208001"":5,""470010209023"":5,""470010212014"":4,""470010209024"":4,""470930069001"":4,""470010213022"":4,""470930039022"":4,""470010212022"":4,""470010211002"":4,""470930069002"":4,""470890706002"":4,""470010212023"":4}"
7,zzw-222@8g9-gx7-vcq,sg:1e19f92ec7a64f6b9d3923a548c3eb04,,,Kroger,SG_BRAND_1f852a23da4b7250,Kroger,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.03025,-83.928327,5006 N Broadway St,Knoxville,TN,37918,US,,,,,,,,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,444.0,342.0,"[14,18,18,14,20,30,9,8,16,12,26,19,28,13,15,16,16,13,15,9,4,12,17,10,13,13,6,13,9,12,6]","{""470930051001"":38,""470930041002"":17,""470930042001"":14,""470930042002"":13,""470930050003"":11,""470930052022"":10,""470930050001"":9,""470930049001"":9,""470930064012"":9,""470930043002"":9,""470930062032"":8,""470930062033"":8,""470930041001"":8,""470930062022"":7,""470930030002"":6,""470930051002"":6,""470930049002"":6,""470930062021"":5,""470930043001"":5,""470930052013"":5,""470930061033"":4,""470930070002"":4,""470930030003"":4,""471550801011"":4,""470090110013"":4,""470930062051"":4,""470930050002"":4,""470890703005"":4,""470930052012"":4,""470930029001"":4,""470090112002"":4,""470930040001"":4,""470930029002"":4,""470010205001"":4,""470930021001"":4,""470930064022"":4,""470930052011"":4,""470930046121"":4,""470930008001"":4,""470930063012"":4,""470930031001"":4,""470930064011"":4,""470930063021"":4,""470930052021"":4,""470930061032"":4,""470930027001"":4,""470930053012"":4,""470930062031"":4,""470930065021"":4,""470930062081"":4,""471730402021"":4,""470090109001"":4,""470930018002"":4}","{""US"":343}",4666.0,10.0,"{""<5"":23,""5-10"":206,""11-20"":115,""21-60"":76,""61-120"":8,""121-240"":11,"">240"":5}","{""Jersey Mike's"":17,""Walgreens"":15,""Petro's Chili & Chips"":8,""Which Wich"":8,""Party City"":8,""O'Reilly Auto Parts"":7,""Firehouse Subs"":5}","{""Chick-fil-A"":44,""Weigel's"":42,""Food City"":41,""Walmart"":39,""McDonald's"":39,""Dollar General"":37,""Walgreens"":32,""Sonic"":32,""Target"":31,""Starbucks"":31,""Exxon Mobil"":25,""Arby's"":23,""Sam's Club"":23,""Shell Oil"":23,""Lowe's"":22,""Wendy's"":22,""Dollar Tree"":20,""Taco Bell"":20,""Zaxby's"":19,""Cracker Barrel"":18}","[1,1,1,1,1,1,3,8,17,21,23,44,55,49,52,53,61,49,54,47,39,18,5,3]","{""Monday"":79,""Tuesday"":62,""Wednesday"":66,""Thursday"":67,""Friday"":73,""Saturday"":39,""Sunday"":58}","{""android"":168,""ios"":173}",470930042001.0,"{""470930051001"":38,""470930041002"":13,""470930042001"":13,""470930050003"":9,""470930042002"":9,""470930064012"":8,""470930030003"":8,""470930052012"":7,""470930040001"":7,""470930049001"":7,""470930043002"":6,""470930062033"":6,""470930049002"":6,""470930050001"":6,""470930041001"":6,""470930051002"":5,""470930064011"":5,""470930050002"":5,""470930062032"":5,""470930043001"":5,""470930062081"":5,""470930052022"":4,""470930045001"":4,""470930015002"":4,""470930047001"":4,""470930035001"":4,""470930029002"":4,""470930016002"":4,""470930016001"":4,""470930062021"":4,""470090111022"":4,""470930064031"":4,""470890708002"":4,""471550808022"":4,""470010209013"":4,""470930030002"":4,""470930064022"":4,""470930057071"":4,""471730402021"":4,""470930045004"":4,""470010213022"":4,""470930061033"":4,""470930062031"":4,""470930027001"":4,""470930065012"":4,""470930052013"":4,""471790615002"":4,""470930029001"":4,""470930040002"":4,""470930063021"":4,""470930063011"":4,""470930070002"":4,""470930062061"":4,""470890705002"":4,""470930067003"":4,""470930021001"":4,""470090103011"":4,""211110105002"":4,""470930057123"":4,""471550801021"":4,""470930063012"":4}"
8,222-223@8g9-xf3-h5z,sg:3aeb59189afc47c69312af6915feb2cf,222-222@8g9-xf3-h5z,sg:d5f338260f794f3e931649c018747253,Bread Box Food Store,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.022098,-84.22564,680 Emory Valley Rd,Oak Ridge,TN,37830,US,,,,,,,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,139.0,81.0,"[2,2,5,9,6,4,4,3,1,3,9,8,8,8,2,7,3,12,6,5,1,1,4,5,7,3,3,2,2,3,1]","{""470010202021"":8,""470930059042"":7,""470010202022"":7,""470010202012"":6,""470930061021"":4,""471450301001"":4,""471730401001"":4,""470010201001"":4,""470010211001"":4,""470010203003"":4,""471450301002"":4,""471291101001"":4,""471450307003"":4,""471550802013"":4,""471450309003"":4}","{""US"":78}",4679.0,9.0,"{""<5"":12,""5-10"":64,""11-20"":8,""21-60"":25,""61-120"":16,""121-240"":12,"">240"":2}","{""Shell Oil"":99,""Kroger"":49,""Weigel's"":37,""Cellular Sales"":11,""CrossFit"":11}","{""Shell Oil"":94,""Weigel's"":52,""Walmart"":46,""Chick-fil-A"":36,""The Little Clinic"":29,""Price Less Foods"":28,""Dollar General"":28,""McDonald's"":28,""Sonic"":27,""The Home Depot"":27,""Kroger"":27,""Food City"":27,""Kroger Fuel Center"":23,""Goodwill Industries"":23,""Taco Bell"":23,""Exxon Mobil"":22,""Wendy's"":22,""Walgreens"":21,""Zaxby's"":21,""Cracker Barrel"":20}","[0,0,0,1,0,1,4,11,8,8,13,10,5,17,13,10,10,18,34,20,15,14,4,1]","{""Monday"":17,""Tuesday"":17,""Wednesday"":37,""Thursday"":23,""Friday"":20,""Saturday"":15,""Sunday"":10}","{""android"":42,""ios"":38}",470010202022.0,"{""470010202021"":13,""470010202022"":12,""470010204001"":5,""470010202012"":5,""470010203003"":5,""470930057062"":4,""471450301002"":4,""470930059042"":4,""470010201002"":4,""470930014001"":4,""470010203002"":4,""470930064022"":4,""470010202011"":4,""471550802013"":4}"
9,224-222@63m-mkd-kcq,sg:c98dd44cd0724cb2beb91884ef49e0a2,,,United Grocery Outlet,SG_BRAND_20b8f297607c385e,United Grocery Outlet,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,36.444794,-83.591607,507 Cross St,New Tazewell,TN,37825,US,14236261619.0,,,,,2021-01,2019-07,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,137.0,84.0,"[1,2,6,1,7,6,0,1,4,6,5,7,7,7,4,3,11,3,2,7,5,6,4,2,5,6,3,3,3,6,4]","{""470259707003"":12,""470259706001"":9,""470259708001"":7,""470259709003"":6,""470575001001"":6,""470259706002"":4,""471730401005"":4,""511059506001"":4,""470259709002"":4,""210139611002"":4,""470259709001"":4,""470259707004"":4,""470259701002"":4,""470259707002"":4,""470259708002"":4}","{""US"":79}",9484.0,17.0,"{""<5"":4,""5-10"":37,""11-20"":42,""21-60"":41,""61-120"":5,""121-240"":3,"">240"":5}","{""Dollar General"":48,""Save-A-Lot"":33,""Taco Bell"":24,""Dollar Tree"":19,""Phillips 66"":16,""AutoZone"":16,""International Trucks"":9,""Walmart"":7}","{""Dollar General"":67,""Walmart"":64,""Hardee's"":46,""Lee's Food Mart"":37,""Marathon"":35,""Dollar Tree"":26,""Food City"":26,""McDonald's"":25,""Kroger"":22,""BP"":21,""Taco Bell"":19,""Advance Auto Parts"":19,""KFC"":18,""Subway"":16,""Pilot Flying J"":16,""Walgreens"":16,""Weigel's"":15,""AutoZone"":15,""Big Lots Stores"":14,""Tractor Supply Co."":13}","[0,0,0,0,0,0,0,0,5,17,21,25,22,25,29,29,15,13,10,2,0,0,1,0]","{""Monday"":19,""Tuesday"":29,""Wednesday"":14,""Thursday"":22,""Friday"":23,""Saturday"":15,""Sunday"":15}","{""android"":58,""ios"":25}",470259709001.0,"{""470259707003"":15,""470259706001"":10,""470259709001"":5,""470259708001"":4,""210139606003"":4,""470259706003"":4,""470259706002"":4,""470679605002"":4,""470259707002"":4,""470259707004"":4,""210139602001"":4,""470631012003"":4,""470259701002"":4,""470259708002"":4,""470575001001"":4,""470259709002"":4,""470259709003"":4}"
