,customer_PlusCode,customer_Title,placekey,safegraph_place_id,latitude,longitude,open_hours,poi_cbg,visitor_home_cbg,cbg_visitor_name
23,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930032001,10
24,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930021001,9
25,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930032002,8
26,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930068003,7
27,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930021002,7
28,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930023002,5
29,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930029001,4
30,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930008001,4
32,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930068001,4
34,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930020002,4
35,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930065022,4
36,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930053022,4
38,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930017001,4
39,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930052022,4
41,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930054012,4
42,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930054021,4
43,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930052013,4
44,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930019001,4
45,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930034002,4
46,"X4XF+C6 Knoxville, Tennessee",Save A Lot,226-222@8g9-gwq-nh5,sg:8ae56cf8c6874025bab13582f1b29d26,35.998607,-83.877009,,470930000000.0,470930061021,4
47,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930017001,23
48,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930018002,21
49,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930030003,21
50,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930029001,15
51,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930066002,14
52,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930018001,13
53,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930015001,11
54,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930063011,10
55,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930016002,9
56,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930068003,9
57,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930030002,9
58,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930017002,8
59,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930014002,8
60,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930020003,7
61,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930067001,7
62,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930065021,6
63,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930032001,6
64,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930030001,6
65,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930016001,6
66,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930008003,5
67,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930043002,5
68,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930049002,5
69,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930068002,5
70,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930028001,5
71,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930052013,5
72,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930040001,5
73,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930015002,5
74,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930067003,5
76,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930019001,5
77,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930015003,5
78,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930070001,5
83,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930064031,4
84,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930069003,4
86,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930014003,4
87,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930014001,4
89,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930031001,4
90,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930054011,4
92,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930063021,4
93,"X3VH+69 Knoxville, Tennessee",Kroger,222-222@8g9-gww-3kf,sg:db69d6a73ba9487ea79c452c2d8e1465,35.992802,-83.921691,,470930000000.0,470930070002,4
