,PlusCode,Visitors,Total_TravelTime,Store_Name,Store_LAT,Store_LON,GEOID,CBG_LAT,CBG_LON
0,"X3JC+HQ Knoxville, Tennessee",4,4.612201911,Three Rivers Market,35.981385,-83.928022,470930001001,35.9649895,-83.9203408
1,"W3X6+X5 Knoxville, Tennessee",4,7.83058496,Publix Super Market at University Commons,35.950105,-83.939675,470930001001,35.9649895,-83.9203408
2,"WXMM+6Q Knoxville, Tennessee",4,10.57695618,Whole Foods Market,35.933085,-84.015477,470930001001,35.9649895,-83.9203408
3,"W2P6+V5 Knoxville, Tennessee",4,11.59855026,ALDI,35.937089,-83.989496,470930001001,35.9649895,-83.9203408
4,"WXC2+HQ Knoxville, Tennessee",11,12.94272241,Target Grocery,35.921766,-84.047911,470930001001,35.9649895,-83.9203408
5,"W564+JF Knoxville, Tennessee",4,14.20867715,Walmart Grocery Pickup,35.911584,-83.843819,470930001001,35.9649895,-83.9203408
6,"W564+JF Knoxville, Tennessee",4,14.20867715,Walmart Grocery Pickup,35.911584,-83.843819,470930001001,35.9649895,-83.9203408
7,"WW55+XV Knoxville, Tennessee",4,16.91607529,ALDI,35.90991,-84.090268,470930001001,35.9649895,-83.9203408
8,"WV6V+M2 Knoxville, Tennessee",4,17.31431092,Copper Cellar Marketplace,35.956155,-83.93433,470930001001,35.9649895,-83.9203408
9,"VRVH+9W Knoxville, Tennessee",4,19.92990823,Publix Super Market at Turkey Creek,35.8934,-84.17021,470930001001,35.9649895,-83.9203408
10,"VW6F+6C Knoxville, Tennessee",4,21.11521041,Publix Super Market at Northshore Town Center,35.860586,-84.076468,470930001001,35.9649895,-83.9203408
11,"VRXX+X7 Knoxville, Tennessee",4,23.14798218,Target Grocery,35.900407,-84.15168,470930001001,35.9649895,-83.9203408
12,"VRXX+X7 Knoxville, Tennessee",4,23.14798218,Target Grocery,35.900407,-84.15168,470930001001,35.9649895,-83.9203408
13,"X3VH+69 Knoxville, Tennessee",4,9.822340654,Kroger,35.992802,-83.921691,470930008001,35.9545461,-83.9011488
14,"X4XF+C6 Knoxville, Tennessee",4,10.65121821,Save A Lot,35.998607,-83.877009,470930008001,35.9545461,-83.9011488
