StoreID,customer_Title,customer_PlusCode,placekey,safegraph_place_id,latitude,longitude,visitor_home_cbgs_key,visitor_home_cbgs_value,TotalPop,Hispanic,White,Black,Asian,Hispanic_Frac,White_Frac,Black_Frac,Asian_Frac,census_block_group,PopulDetermPoverty_Under50,PopulDetermPoverty_50to99,PopulDetermPoverty,BelowPovertyLine_frac
0,Food City,"2H8F+VQ Dandridge, Tennessee",224-224@8g9-jsj-rrk,sg:2cd8573f80c040d39dbaaba17ddfae02,36.016732,-83.42559,4.71E+11,28,745,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
6,ALDI,"VCGG+MM Sevierville, Tennessee",22c-222@8g9-ff7-nkf,sg:748665854fd9444fb8eb07a6a506056a,35.87666,-83.573365,4.71E+11,4,1421,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
24,Food City,"23FC+W9 Knoxville, Tennessee",222-222@8g9-gwn-7wk,sg:39479daf3de34159a6da2945052cfd21,36.024811,-83.929117,4.71E+11,4,888,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
35,The Fresh Market,"W2RC+PJ Knoxville, Tennessee",22h-222@8g9-mkj-2zf,sg:a2d5d7505a6348e0a9f46b85b6e82f73,35.941898,-83.978421,4.71E+11,4,847,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
41,Kroger,"VCHG+Q5 Sevierville, Tennessee",zzw-222@8g9-ff7-p7q,sg:de619a98439c4c5cb7d2ac75a22d48f2,35.879169,-83.575479,4.71E+11,13,1238,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
43,Food City,"4G87+V3 Jefferson City, Tennessee",222-222@8g9-ghk-9s5,sg:0bd62b0fed604066983c3538322883f5,36.11702,-83.487444,4.71E+11,9,1585,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
57,Target Grocery,"WXC2+HQ Knoxville, Tennessee",222-223@8g9-m9p-q4v,sg:08c8687602b4424db446d20428e97dc0,35.921766,-84.047911,4.71E+11,4,654,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
65,Walmart Grocery Pickup,"W564+JF Knoxville, Tennessee",222-225@8g9-mj8-s89,sg:0aa89a4868b54511a061fb0bfccc8dfc,35.911584,-83.843819,4.71E+11,4,3191,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
68,Food City,"XC75+G5 Kodak, Tennessee",zzw-223@8g9-gyj-q75,sg:946c8fea84364aa298113ea2081a6295,35.963867,-83.592075,4.71E+11,14,883,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
78,Food City,"269C+RP Knoxville, Tennessee",222-222@8g9-gw3-mkz,sg:aef0c19ed9fa4f2b9daedc916182bc97,36.019509,-83.778225,4.71E+11,4,1938,7,2812,18,0,0.002458728,0.987706358,0.006322445,0,4.71E+11,34,82,2819,0.041149344
