,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng,geometry,sg_unpack_idx,customer_PlusCode,customer_Title,placekey,safegraph_place_id,latitude,longitude,open_hours,poi_cbg,visitor_home_cbg,cbg_visitor_name
0,"X384+FG Knoxville, Tennessee",1,"470930001001 - X384+FG Knoxville, Tennessee",1,2,470930001001,,,,,0.0,4.08674741867,0.0,2.23968026936,0.0,0.0,0.0,0.0,2760.73105916,"LINESTRING (2583785.992734483 600416.9339791939, 2583731.572565048 600529.688252915, 2583421.283356365 600366.5341164693, 2583380.966519485 600453.0619008575, 2583325.470425405 600557.4724495965, 2583280.16388454 600600.2025791651, 2583208.516914059 600489.4513082522, 2583144.508961416 600437.1186325069, 2583026.859395103 600401.8523666759, 2582837.198694663 600412.3918068701, 2582763.0787077 600418.101200982, 2582534.801937987 600435.1055621849, 2582393.560015016 600395.7007946833, 2582266.956368006 600363.8888480294, 2581934.867696922 600251.2625278807, 2581764.114652486 600207.5946370496, 2581593.052877598 600178.485289472, 2581309.099809445 600168.8332998739, 2580889.621917592 600269.1883112511, 2580790.986334566 600314.435340702, 2580641.208395566 600398.6525705497, 2580494.389699273 600482.932841077, 2580213.665985991 600600.7947369701, 2580139.162757526 600624.7075645266, 2580037.955565033 600651.697846924, 2579951.618454237 600675.3614367571, 2579889.10374519 600692.2464826218, 2579627.441722255 600748.6194192045, 2579514.40108292 600775.3618868439, 2579475.78600987 600781.8288034472, 2578805.074928903 600865.9907507809, 2578633.400962784 600866.0137536193, 2578319.255724354 600884.8827851415, 2578248.096659251 600890.6661705492, 2578073.15785302 600905.1876794662, 2577832.900945202 600929.2585344911, 2577717.287093596 600937.7489684356, 2577444.563264584 600957.4989233131, 2577091.729090414 600986.4904064705, 2576976.115751922 600994.9835080022, 2576940.751541747 600997.4821318791)",,,,,,,,,,,
1,"W3MV+W7 Knoxville, Tennessee",1,"470930008001 - W3MV+W7 Knoxville, Tennessee",1,2,470930008001,,,,,0.0,5.36213639439,0.0,3.46472002961,0.0,0.0,0.0,0.0,4279.45841508,"LINESTRING (2589618.64557002 596814.8842955504, 2589861.085550071 597106.9447174674, 2590041.104059853 597271.012440269, 2590789.690147291 597563.8060960036, 2590924.602636375 597071.5276855336, 2591020.085800108 596898.8114855447, 2591248.739645972 596590.6005472572, 2591370.935613281 596414.8187886691, 2591391.507624497 596284.184787059, 2591230.589715724 595920.2638501551, 2591019.937386089 595253.0710891802, 2590896.708628783 594788.0140714645, 2590925.779138341 594537.409404262, 2590953.611594028 594206.6757392019, 2590904.37186984 593604.8515126958, 2590911.241717727 593422.9486254615, 2591030.189024943 593123.301571014, 2590904.422232916 593051.4196580569, 2590521.434077589 592824.7316746169, 2590445.427513393 592779.4071444962, 2590354.780154663 592726.4869134178, 2590270.12918547 592670.0543305589, 2590124.267682366 592568.6163204635, 2588228.751730902 591075.2387868224, 2588077.111277137 590966.4056762293, 2587969.163319772 590891.2771408657, 2587837.771614702 590804.7243720535, 2587697.577781102 590714.3433566306, 2587845.086422973 590462.6274943942, 2587915.881744358 590336.7066411383, 2587983.48474649 590221.6407836303, 2588100.233498435 590023.8832053244, 2588164.800357445 589912.3936762367, 2588244.711342441 589775.7457631024, 2588237.315540595 589771.7811733524)",,,,,,,,,,,
2,"W3MV+W7 Knoxville, Tennessee",1,"470930008002 - W3MV+W7 Knoxville, Tennessee",1,2,470930008002,,,,,0.0,5.23470751976,0.0,4.04697184533,0.0,0.0,0.0,0.0,4997.35967615,"LINESTRING (2588870.287930037 599349.0022979905, 2588951.524830157 599352.151533371, 2588987.49764316 599331.0762409646, 2589036.479969006 599117.3062502109, 2589073.54479449 599045.2801732458, 2589171.038971992 598777.9347276298, 2589022.324308311 598672.799169274, 2589087.651876078 598663.2762377388, 2589144.493068202 598635.3662510802, 2589304.196291553 598504.072389012, 2589678.029739003 598326.3975408955, 2589871.9158314 598257.7369921217, 2590539.308137949 598057.2456444191, 2590672.156615353 597936.3053259759, 2590783.055535718 597734.7914318455, 2591240.02267892 597271.2827136908, 2591643.775847672 596529.9189818833, 2591720.039729798 596287.612219936, 2591722.815027538 595883.5193453568, 2591489.267434325 595317.7783050056, 2591219.808737687 594769.4726645933, 2591063.716276201 594318.2725981986, 2590904.37186984 593604.8515126958, 2590911.241717727 593422.9486254615, 2591030.189024943 593123.301571014, 2590904.422232916 593051.4196580569, 2590521.434077589 592824.7316746169, 2590445.427513393 592779.4071444962, 2590354.780154663 592726.4869134178, 2590270.12918547 592670.0543305589, 2590124.267682366 592568.6163204635, 2588228.751730902 591075.2387868224, 2588077.111277137 590966.4056762293, 2587969.163319772 590891.2771408657, 2587837.771614702 590804.7243720535, 2587697.577781102 590714.3433566306, 2587845.086422973 590462.6274943942, 2587915.881744358 590336.7066411383, 2587983.48474649 590221.6407836303, 2588100.233498435 590023.8832053244, 2588164.800357445 589912.3936762367, 2588244.711342441 589775.7457631024, 2588237.315540595 589771.7811733524)",,,,,,,,,,,
3,"W3MV+W7 Knoxville, Tennessee",1,"470930008003 - W3MV+W7 Knoxville, Tennessee",1,2,470930008003,,,,,0.0,5.46633925667,0.0,2.9779100886,0.0,0.0,0.0,0.0,3691.52233827,"LINESTRING (2587014.734497315 596004.647811898, 2586872.809941778 596198.2676816675, 2586929.74288723 596443.4306041204, 2586578.713622828 596523.3204052977, 2586538.770759747 596591.6469432169, 2586379.155898198 596857.6751559342, 2586375.342750819 596897.6448153886, 2586274.892798253 596888.2197637249, 2585276.111734584 596386.3183448547, 2585355.527019996 596271.4978927698, 2585444.285576109 596135.030756861, 2585621.094780257 595756.4932355327, 2585655.738736598 595658.9245974342, 2585665.158996867 595633.6383506714, 2585699.570811404 595546.9878885646, 2585727.909150342 595467.4898416803, 2585749.941766748 595406.0625853689, 2585768.782346883 595355.4902132123, 2585862.987244662 595102.6285488431, 2585934.77232162 594929.390933449, 2585994.255785174 594777.7374509507, 2586012.941960029 594734.4438868942, 2586069.389628145 594586.3665991431, 2586549.098230677 593333.1745799909, 2586606.249832576 593152.3445016209, 2586660.132006065 592986.0087672314, 2586793.28269958 592573.7776730602, 2586821.937392828 592479.7235055924, 2586850.514828024 592389.3087051008, 2586898.247593735 592233.7650673422, 2586923.710584136 592150.5659847265, 2587029.928034711 591890.682693022, 2587045.502761438 591854.6053705252, 2587254.833791394 591480.4132960849, 2587282.480450879 591433.670796748, 2587623.824395326 590840.2013980293, 2587697.577781102 590714.3433566306, 2587845.086422973 590462.6274943942, 2587915.881744358 590336.7066411383, 2587983.48474649 590221.6407836303, 2588100.233498435 590023.8832053244, 2588164.800357445 589912.3936762367, 2588244.711342441 589775.7457631024, 2588237.315540595 589771.7811733524)",,,,,,,,,,,
4,"W3X6+X5 Knoxville, Tennessee",1,"470930009011 - W3X6+X5 Knoxville, Tennessee",2,2,470930009011,,,,,0.0,4.95294361434,0.0,1.73458995351,0.0,0.0,0.0,0.0,2136.89631909,"LINESTRING (2582212.260597182 596676.8681398068, 2582288.082250688 596574.0620930175, 2582261.913810128 596551.6616185142, 2582235.745600652 596529.260892333, 2582203.813265404 596499.4562334043, 2582180.603994268 596477.1184913834, 2582151.630583778 596447.3765446, 2582003.573063334 596309.5231829218, 2581800.401153746 596257.8868490892, 2581750.529314908 596096.6273281899, 2581541.483076953 595902.8699085229, 2581489.221074253 595854.4309285894, 2580925.778990841 595340.054215489, 2580702.156630991 595135.0720611815, 2580321.733608615 594784.7805951998, 2580103.944229148 594583.5674458974, 2579849.371927401 594301.478187, 2579611.321375019 594077.9954392564, 2579469.967387374 594042.2444583491, 2578962.530414511 594519.4349379584, 2578881.282821497 594441.2618255399, 2578863.834420299 594426.3303532194, 2578715.443901805 594303.0511437609, 2578438.598856195 594903.188472772)",4876,"W3X6+X5 Knoxville, Tennessee",Publix Super Market at University Commons,222-222@8g9-mhp-rhq,sg:ff89f397f1534714be6bf4b727fbfbf3,35.950105,-83.939675,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""23:00""]] }",470930000000.0,470930009011,4.0
5,"W3X6+X5 Knoxville, Tennessee",1,"470930009021 - W3X6+X5 Knoxville, Tennessee",2,2,470930009021,,,,,0.0,1.54294041385,0.0,0.504651518695,0.0,0.0,0.0,0.0,627.013947605,"LINESTRING (2579446.704536038 594051.8817301964, 2578962.530414511 594519.4349379584, 2578881.282821497 594441.2618255399, 2578863.834420299 594426.3303532194, 2578715.443901805 594303.0511437609, 2578438.598856195 594903.188472772)",4859,"W3X6+X5 Knoxville, Tennessee",Publix Super Market at University Commons,222-222@8g9-mhp-rhq,sg:ff89f397f1534714be6bf4b727fbfbf3,35.950105,-83.939675,"{ ""Mon"": [[""7:00"", ""23:00""]], ""Tue"": [[""7:00"", ""23:00""]], ""Wed"": [[""7:00"", ""23:00""]], ""Thu"": [[""7:00"", ""23:00""]], ""Fri"": [[""7:00"", ""23:00""]], ""Sat"": [[""7:00"", ""23:00""]], ""Sun"": [[""7:00"", ""23:00""]] }",470930000000.0,470930009021,7.0
6,"W3X6+X5 Knoxville, Tennessee",1,"470930009022 - W3X6+X5 Knoxville, Tennessee",1,2,470930009022,,,,,0.0,2.96554897032,0.0,0.937463575238,0.0,0.0,0.0,0.0,1160.7214429,"LINESTRING (2580000.03521303 595966.2955001487, 2580097.681449606 595861.4196071739, 2580161.282714219 595793.5843519771, 2580234.069115269 595711.3791621871, 2579876.783822994 595387.0687146517, 2579821.558983015 595338.5702903615, 2579661.878491347 595189.5607942541, 2579301.774571516 594857.9166305871, 2578962.530414511 594519.4349379584, 2578881.282821497 594441.2618255399, 2578863.834420299 594426.3303532194, 2578715.443901805 594303.0511437609, 2578438.598856195 594903.188472772)",,,,,,,,,,,
7,"X3JC+HQ Knoxville, Tennessee",1,"470930014001 - X3JC+HQ Knoxville, Tennessee",2,2,470930014001,,,,,0.0,4.02125804073,0.0,2.3118502489,0.0,0.0,0.0,0.0,2853.33442882,"LINESTRING (2575504.084537078 606026.1875772501, 2575566.588999783 606106.4709148628, 2576218.099805807 606225.7290939701, 2577141.102541702 606944.191235222, 2577360.045446665 606664.7975155596, 2577427.007326616 606717.1799238406, 2577634.122588261 606437.5392529615, 2577807.784331416 606200.8878810643, 2577905.199395798 606071.8625419224, 2577984.407180972 605964.2999731352, 2578054.327431642 606016.7460256093, 2578243.611102036 606162.7310778263, 2578380.875295443 606249.3656261573, 2578465.507618946 606305.7635362447, 2578503.424951297 606332.0497029431, 2578544.300512776 606358.3979716885, 2578570.615703836 606373.5163962397, 2578637.729554721 606418.6229347733, 2578716.598549637 606467.618175372, 2578818.900908648 606528.0308324648, 2579044.977882111 606612.9000979713, 2579605.727674271 606824.9871552468, 2579882.122566562 607049.2832429333, 2580038.161293213 607227.3475042544, 2580165.310700936 607372.0331149424, 2580279.94194703 607268.8661348445, 2580412.705774702 607147.8779502341, 2580530.450348143 607037.4959063596, 2580596.833300131 606977.0024085334, 2580832.172151317 606763.5187078069, 2580883.766398169 606702.7129695764, 2580959.640801526 606613.2929934938, 2580999.095546206 606566.7946649761, 2581041.585700294 606516.7194410447, 2581087.18776616 606459.4283597755, 2581178.161366783 606355.764263308, 2581238.708169216 606291.507651414, 2581299.332274637 606223.6117803034, 2581306.322570284 606228.4868460788)",,,,,,,,,,,
8,"X3JC+HQ Knoxville, Tennessee",1,"470930014002 - X3JC+HQ Knoxville, Tennessee",2,2,470930014002,,,,,0.0,2.89061467426,0.0,1.48819399261,0.0,0.0,0.0,0.0,1837.85395059,"LINESTRING (2577723.257490505 604998.5892232776, 2577589.449748964 604903.7395653911, 2577827.970099223 604679.3759687371, 2578078.326726833 604455.263525018, 2578341.377286422 604471.7262714079, 2578537.922580521 604413.9700586807, 2578693.13015527 604351.7029273256, 2578895.823399528 604283.1559186532, 2579178.395719991 604496.6517763038, 2579332.876796416 604609.1406000679, 2579437.758841927 604687.8147804248, 2579478.558895529 604717.8036536502, 2579630.156528162 604826.5924822111, 2579811.103670568 604946.9245249938, 2579851.903232572 604976.9142086892, 2579962.545123332 605062.9938544144, 2580297.578792195 605314.0190202612, 2580524.619029738 605493.5861365122, 2580815.810586758 605718.2038683158, 2581170.996565338 605995.1530303599, 2581246.75021963 606051.3713221964, 2581363.0688014 606148.4997334263, 2581299.332274637 606223.6117803034, 2581306.322570284 606228.4868460788)",,,,,,,,,,,
9,"X384+FG Knoxville, Tennessee",1,"470930014003 - X384+FG Knoxville, Tennessee",1,1,470930014003,,,,,0.0,3.03988441994,0.0,2.09346115925,0.0,0.0,0.0,0.0,2584.893155,"LINESTRING (2575485.339513491 604300.9744737226, 2575443.494792577 604214.2159609316, 2575455.268832437 604076.1053155705, 2575464.923965647 603897.8993260098, 2575400.147285496 603881.9773944176, 2575484.081585133 603548.7661396321, 2574968.43740368 603439.6537735994, 2574641.512633801 603363.6286552824, 2574301.481315714 603065.2331936811, 2573764.229212324 602573.3874672898, 2573569.667293833 602394.5537537397, 2573609.191487744 602344.4059300913, 2573709.862275631 602200.8709575786, 2573869.475073226 602069.4914133449, 2574063.068169008 602011.6430988732, 2574131.645596789 601987.5906047714, 2574367.343887585 601897.8562430197, 2574833.437637642 601689.1542606009, 2576035.349908315 601113.5863574803, 2576445.463473427 601034.8109153847, 2576540.366461971 601025.8805394621, 2576777.509786975 601009.0156497986, 2576940.751541747 600997.4821318791)",4304,"X384+FG Knoxville, Tennessee",Food City,zzw-222@8g9-mhn-vj9,sg:c89ae590764e4186820fc46311fdccf8,35.96643,-83.942448,,470930000000.0,470930014003,4.0
